Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-20 13:49:00, $1,364.45, BUY, $95,920.62, $4,084.13, $0.00, $4.75
2021-05-20 13:53:00, $1,366.96, HOLD, $95,920.62, $4,084.13, $0.00, $4.75
2021-05-20 13:54:00, $1,368.25, BUY, $94,552.37, $5,452.38, $0.00, $4.75
2021-05-20 13:57:00, $1,368.92, HOLD, $94,552.37, $5,452.38, $0.00, $4.75
2021-05-20 13:59:00, $1,369.51, BUY, $93,182.86, $6,821.89, $0.00, $4.75
2021-05-20 14:00:00, $1,369.71, HOLD, $93,182.86, $6,821.89, $0.00, $4.75
2021-05-20 14:01:00, $1,369.76, BUY, $91,813.10, $8,191.65, $0.00, $4.75
2021-05-20 14:02:00, $1,369.07, SELL, $100,027.50, $0.00, $-0.70, $27.50
2021-05-20 14:08:00, $1,367.95, HOLD, $100,027.50, $0.00, $0.00, $27.50
2021-05-20 14:16:00, $1,368.14, BUY, $98,659.36, $1,368.14, $0.00, $27.50
2021-05-20 14:18:00, $1,369.70, HOLD, $98,659.36, $1,368.14, $0.00, $27.50
2021-05-20 14:20:00, $1,370.45, BUY, $97,288.91, $2,738.59, $0.00, $27.50
2021-05-20 14:26:00, $1,371.00, HOLD, $97,288.91, $2,738.59, $0.00, $27.50
2021-05-20 14:27:00, $1,370.94, SELL, $100,030.79, $0.00, $0.49, $30.79
2021-05-20 14:29:00, $1,372.41, BUY, $98,658.38, $1,372.41, $0.00, $30.79
2021-05-20 14:34:00, $1,373.24, HOLD, $98,658.38, $1,372.41, $0.00, $30.79
2021-05-20 14:38:00, $1,373.83, BUY, $97,284.55, $2,746.24, $0.00, $30.79
2021-05-20 14:39:00, $1,373.67, SELL, $100,031.88, $0.00, $-0.17, $31.88
2021-05-20 14:40:00, $1,373.19, HOLD, $100,031.88, $0.00, $0.00, $31.88
2021-05-20 14:45:00, $1,372.96, SELL, $100,031.88, $0.00, $0.00, $31.88
2021-05-20 14:48:00, $1,373.10, BUY, $98,658.78, $1,373.10, $0.00, $31.88
2021-05-20 14:50:00, $1,373.28, HOLD, $98,658.78, $1,373.10, $0.00, $31.88
2021-05-20 14:53:00, $1,374.17, BUY, $97,284.61, $2,747.27, $0.00, $31.88
2021-05-20 14:54:00, $1,374.34, HOLD, $97,284.61, $2,747.27, $0.00, $31.88
2021-05-20 14:57:00, $1,374.90, BUY, $95,909.71, $4,122.17, $0.00, $31.88
2021-05-20 14:58:00, $1,380.43, HOLD, $95,909.71, $4,122.17, $0.00, $31.88
2021-05-20 14:59:00, $1,388.59, BUY, $94,521.13, $5,510.76, $0.00, $31.88
2021-05-21 08:30:00, $1,390.64, HOLD, $94,521.13, $5,510.76, $0.00, $31.88
2021-05-21 08:31:00, $1,387.81, SELL, $100,072.37, $0.00, $-0.78, $72.37
2021-05-21 08:32:00, $1,384.10, HOLD, $100,072.37, $0.00, $0.00, $72.37
2021-05-21 08:33:00, $1,386.86, BUY, $98,685.51, $1,386.86, $0.00, $72.37
2021-05-21 08:34:00, $1,388.60, HOLD, $98,685.51, $1,386.86, $0.00, $72.37
