Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"138,409,895","17,564,215,675.50",10.922,Apple Inc,Common Stock,Information Technology,05/25/2021
QQQ,594918104,MSFT ,"62,181,782","15,652,398,165.04",9.733,Microsoft Corp,Common Stock,Information Technology,05/25/2021
QQQ,023135106,AMZN ,"4,151,696","13,530,584,848.80",8.414,Amazon.com Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,02079K107,GOOG ,"2,700,582","6,505,891,078.74",4.046,Alphabet Inc,Common Stock,Communication Services,05/25/2021
QQQ,30303M102,FB ,"19,831,649","6,500,616,225.71",4.042,Facebook Inc,Common Stock,Communication Services,05/25/2021
QQQ,88160R101,TSLA ,"9,793,156","5,921,823,501.64",3.682,Tesla Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,02079K305,GOOGL ,"2,479,483","5,858,695,996.21",3.643,Alphabet Inc,Common Stock,Communication Services,05/25/2021
QQQ,67066G104,NVDA ,"7,778,487","4,868,632,798.17",3.027,NVIDIA Corp,Common Stock,Information Technology,05/25/2021
QQQ,70450Y103,PYPL ,"14,693,449","3,800,460,583.85",2.363,PayPal Holdings Inc,Common Stock,Information Technology,05/25/2021
QQQ,20030N101,CMCSA ,"57,349,805","3,194,384,138.50",1.986,Comcast Corp,Common Stock,Communication Services,05/25/2021
QQQ,00724F101,ADBE ,"6,005,719","3,033,368,552.52",1.886,Adobe Inc,Common Stock,Information Technology,05/25/2021
QQQ,458140100,INTC ,"50,973,773","2,898,878,470.51",1.803,Intel Corp,Common Stock,Information Technology,05/25/2021
QQQ,17275R102,CSCO ,"52,965,923","2,823,613,355.13",1.756,Cisco Systems Inc/Delaware,Common Stock,Information Technology,05/25/2021
QQQ,64110L106,NFLX ,"5,556,365","2,785,628,029.10",1.732,Netflix Inc,Common Stock,Communication Services,05/25/2021
QQQ,713448108,PEP ,"17,308,306","2,566,821,779.80",1.596,PepsiCo Inc,Common Stock,Consumer Staples,05/25/2021
QQQ,11135F101,AVGO ,"5,121,433","2,353,503,320.82",1.463,Broadcom Inc,Common Stock,Information Technology,05/25/2021
QQQ,882508104,TXN ,"11,545,199","2,178,579,051.30",1.355,Texas Instruments Inc,Common Stock,Information Technology,05/25/2021
QQQ,22160K105,COST ,"5,557,273","2,141,661,868.74",1.332,Costco Wholesale Corp,Common Stock,Consumer Staples,05/25/2021
QQQ,872590104,TMUS ,"15,592,079","2,132,372,724.04",1.326,T-Mobile US Inc,Common Stock,Communication Services,05/25/2021
QQQ,747525103,QCOM ,"14,252,016","1,906,207,140.00",1.185,QUALCOMM Inc,Common Stock,Information Technology,05/25/2021
QQQ,031162100,AMGN ,"7,246,114","1,753,559,588.00",1.090,Amgen Inc,Common Stock,Health Care,05/25/2021
QQQ,16119P108,CHTR ,"2,430,564","1,690,481,567.64",1.051,Charter Communications Inc,Common Stock,Communication Services,05/25/2021
QQQ,855244109,SBUX ,"14,770,277","1,663,576,298.51",1.034,Starbucks Corp,Common Stock,Consumer Discretionary,05/25/2021
QQQ,038222105,AMAT ,"11,512,952","1,583,030,900.00",0.984,Applied Materials Inc,Common Stock,Information Technology,05/25/2021
QQQ,461202103,INTU ,"3,435,593","1,508,190,971.07",0.938,Intuit Inc,Common Stock,Information Technology,05/25/2021
QQQ,46120E602,ISRG ,"1,476,849","1,249,429,022.49",0.777,Intuitive Surgical Inc,Common Stock,Health Care,05/25/2021
QQQ,09857L108,BKNG ,"513,918","1,202,059,341.18",0.747,Booking Holdings Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,007903107,AMD ,"15,197,156","1,183,250,566.16",0.736,Advanced Micro Devices Inc,Common Stock,Information Technology,05/25/2021
QQQ,512807108,LRCX ,"1,792,956","1,148,155,233.72",0.714,Lam Research Corp,Common Stock,Information Technology,05/25/2021
QQQ,595112103,MU ,"14,034,721","1,140,040,386.83",0.709,Micron Technology Inc,Common Stock,Information Technology,05/25/2021
QQQ,609207105,MDLZ ,"17,716,141","1,128,695,343.11",0.702,Mondelez International Inc,Common Stock,Consumer Staples,05/25/2021
QQQ,053015103,ADP ,"5,368,909","1,048,011,036.80",0.652,Automatic Data Processing Inc,Common Stock,Information Technology,05/25/2021
QQQ,375558103,GILD ,"15,765,097","1,044,122,374.31",0.649,Gilead Sciences Inc,Common Stock,Health Care,05/25/2021
QQQ,337738108,FISV ,"8,399,051","971,854,191.21",0.604,Fiserv Inc,Common Stock,Information Technology,05/25/2021
QQQ,126408103,CSX ,"9,566,325","947,640,154.50",0.589,CSX Corp,Common Stock,Industrials,05/25/2021
QQQ,98980L101,ZM ,"2,938,743","944,159,351.04",0.587,Zoom Video Communications Inc,Common Stock,Information Technology,05/25/2021
QQQ,00507V109,ATVI ,"9,719,987","938,659,144.59",0.584,Activision Blizzard Inc,Common Stock,Communication Services,05/25/2021
QQQ,58733R102,MELI ,"625,626","854,242,252.92",0.531,MercadoLibre Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,60770K107,MRNA ,"5,015,339","848,896,279.14",0.528,Moderna Inc,Common Stock,Health Care,05/25/2021
QQQ,052769106,ADSK ,"2,758,737","798,571,599.39",0.497,Autodesk Inc,Common Stock,Information Technology,05/25/2021
QQQ,47215P106,JD ,"10,421,523","758,791,089.63",0.472,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,05/25/2021
QQQ,032654105,ADI ,"4,627,968","757,690,920.96",0.471,Analog Devices Inc,Common Stock,Information Technology,05/25/2021
QQQ,452327109,ILMN ,"1,830,476","726,863,714.84",0.452,Illumina Inc,Common Stock,Health Care,05/25/2021
QQQ,N6596X109,NXPI ,"3,475,354","711,613,485.04",0.443,NXP Semiconductors NV,Common Stock,Information Technology,05/25/2021
QQQ,92532F100,VRTX ,"3,261,457","680,861,763.32",0.423,Vertex Pharmaceuticals Inc,Common Stock,Health Care,05/25/2021
QQQ,500754106,KHC ,"15,345,723","677,513,670.45",0.421,Kraft Heinz Co/The,Common Stock,Consumer Staples,05/25/2021
QQQ,75886F107,REGN ,"1,320,822","657,808,980.66",0.409,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,05/25/2021
QQQ,056752108,BIDU ,"3,404,542","656,293,561.34",0.408,Baidu Inc ADR,American Depository Receipt,Communication Services,05/25/2021
QQQ,N07059210,ASML ,"975,221","655,631,326.09",0.408,ASML Holding NV,American Depository Receipt - NY,Information Technology,05/25/2021
QQQ,49271V100,KDP ,"17,655,247","644,416,515.50",0.401,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,05/25/2021
QQQ,61174X109,MNST ,"6,623,170","616,153,505.10",0.383,Monster Beverage Corp,Common Stock,Consumer Staples,05/25/2021
QQQ,482480100,KLAC ,"1,932,990","614,536,180.80",0.382,KLA Corp,Common Stock,Information Technology,05/25/2021
QQQ,45168D104,IDXX ,"1,071,726","595,011,557.94",0.370,IDEXX Laboratories Inc,Common Stock,Health Care,05/25/2021
QQQ,016255101,ALGN ,"992,752","590,637,802.40",0.367,Align Technology Inc,Common Stock,Health Care,05/25/2021
QQQ,931427108,WBA ,"10,840,161","587,428,324.59",0.365,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,05/25/2021
QQQ,571903202,MAR ,"4,070,048","581,162,153.92",0.361,Marriott International Inc/MD,Common Stock,Consumer Discretionary,05/25/2021
QQQ,722304102,PDD ,"4,334,238","567,005,015.16",0.353,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,05/25/2021
QQQ,778296103,ROST ,"4,472,160","553,966,459.20",0.344,Ross Stores Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,30161N101,EXC ,"12,248,849","550,095,808.59",0.342,Exelon Corp,Common Stock,Utilities,05/25/2021
